0,1
我哋試吓吖！,我們試試看！
我要去瞓覺喇。,我該去睡覺了。
聖誕節快樂！,聖誕節快樂！
佢係咪喺呢度住㗎？,他住在這裏嗎？
我愛你。,我愛你。
我同阿爸阿媽一齊住。,我跟父母住在一起.
呢本書對你嚟講可能難咗啲。,這本書對你來說讀起來太難了。
幾時開始㗎？,什麼時候開始？
下個禮拜我去溫哥華探我個細妹。,下週我去溫哥華看我妹妹。
佢係哈佛大學嘅生物學教授。,他是哈佛大學的生物學教授。
佢有好多講歷史嘅書。,他有很多歷史書籍。
呢個箱係吉嘅，入面咩都冇。,這箱子是空的，裏面什麼也沒有。
架消防車都未到，間屋就已經燒到渣都冇得剩喇。,消防車到達之前，房子就全燒了。
火燭呀！快啲走呀！,着火了！快跑啊！
我喺度搵緊啲講古羅馬歷史嘅書。,我在找關於古羅馬歷史的書。
後生仔應該尊重啲老人家。,年輕人應該尊敬老人。
呢間房裏面有部電視機。,這個房間裏有個電視機。
冇人知部機係點嘅樣嘅。,沒人知道那機器長什麼樣子。
你尋晚做咩瞓唔著呀？,爲什麼你昨晚睡不着？
我細妹嫁咗俾一個醫生。,我妹妹嫁給了一個醫生。
我而家返緊工，遲啲打俾你啦。,我現在在上班，所以晚點打給你。
佢走咗去美國讀醫。,他去美國學醫了。
佢屋企喺邊？,他的家在哪兒?
你鍾唔鍾意音樂㗎？,你喜歡音樂嗎？
龍床不如狗竇。,金窩銀窩不如自己的狗窩。
尋日我去咗河邊釣魚。,昨天我去河邊釣魚了。
個男仔唔認佢偷咗架單車。,那個男孩否認偷了自行車。
佢已經同以前唔同咗喇。,他不再是以前的那個他了。
禮拜四晚啤酒免費任飲。,週四晚上啤酒免費暢飲。
水結咗冰就會變做固體。,水結冰後成爲固體。
我諗都冇諗過會噉。,我從來就沒想到。
我哋走咗去公園影相。,我們去公園拍照了。
好主意!,真是個好主意！
將副啤牌擺上張橡木枱度。,把撲克牌放在橡木桌上。
張枱上面有粒橙。,桌上有一隻橙子。
佢架單車係藍色嘅。,他的自行車是藍色的。
我想喊。,我想哭。
我覺得好似喺度發緊夢噉。,我感覺就像做夢一樣。
我好耐無見過佢喇。,我很久沒見過他了。
我鍾意嗰個男仔唔鍾意我。,我愛的那個男孩不愛我。
佢聽日嚟唔嚟到呀？,他明天能來嗎？
我想問吓你叫咩名同埋喺邊度住㗎？,我能問一下您的姓名和住址嗎？
我哋應該做到最好。,我們應該做到最好。
尋日，我收到一封用英文寫嘅信。,昨天，我收到一封用英語寫的信。
我都好鍾意嗰個歌手把聲。,我也喜歡那個歌手的聲音。
我而家喺牛津大學讀書。,我是牛津大學的學生。
倫敦有好多好靚嘅公園。,倫敦有很多漂亮的公園。
佢好易攰。,他很容易覺得累。
有人攞錯咗我對鞋嚟著。,有人穿錯了我的鞋。
